iter	Passed	Remaining
162	2154	11061
163	2171	11069
164	2183	11049
165	2191	11010
166	2201	10980
167	2218	10985
168	2227	10952
169	2237	10923
170	2245	10884
171	2263	10895
172	2271	10859
173	2281	10830
174	2288	10787
175	2298	10759
176	2316	10771
177	2331	10765
178	2337	10722
179	2354	10724
180	2366	10708
181	2378	10690
182	2385	10652
183	2405	10666
184	2414	10638
185	2423	10604
186	2429	10563
187	2437	10526
188	2447	10504
189	2460	10488
190	2465	10444
191	2475	10416
192	2488	10404
193	2505	10411
194	2514	10380
195	2525	10358
196	2533	10326
197	2550	10330
198	2559	10302
199	2565	10262
200	2578	10248
201	2585	10212
202	2605	10229
203	2611	10190
204	2621	10164
205	2627	10126
206	2634	10092
207	2653	10103
208	2661	10074
209	2669	10044
210	2676	10007
211	2685	9981
212	2703	9989
213	2710	9954
214	2718	9926
215	2729	9905
216	2741	9892
217	2752	9875
218	2759	9841
219	2784	9873
220	2791	9838
221	2800	9813
222	2805	9776
223	2813	9745
224	2837	9773
225	2845	9743
226	2852	9712
227	2858	9678
228	2881	9701
229	2887	9667
230	2899	9651
231	2905	9619
232	2917	9604
233	2931	9595
234	2942	9577
235	2953	9561
236	2962	9538
237	2969	9507
238	2979	9485
239	2995	9485
240	3000	9451
241	3009	9427
242	3016	9397
243	3023	9369
244	3048	9392
245	3055	9365
246	3066	9348
247	3079	9337
248	3091	9324
249	3097	9292
250	3110	9281
251	3116	9249
252	3128	9236
253	3142	9230
254	3153	9213
255	3164	9196
256	3176	9182
257	3191	9179
258	3203	9165
259	3209	9135
260	3216	9106
261	3232	9103
262	3240	9080
263	3246	9050
264	3255	9029
265	3262	9002
266	3270	8979
267	3290	8988
268	3297	8959
269	3306	8941
270	3313	8912
271	3340	8939
272	3349	8919
273	3356	8893
274	3362	8864
275	3387	8886
276	3394	8861
277	3407	8848
278	3413	8822
279	3429	8819
280	3440	8804
281	3451	8787
282	3458	8761
283	3473	8757
284	3484	8742
285	3496	8728
286	3502	8702
287	3508	8674
288	3525	8672
289	3532	8648
290	3542	8630
291	3549	8606
292	3555	8579
293	3571	8577
294	3580	8557
295	3586	8529
296	3596	8513
297	3603	8487
298	3616	8478
299	3628	8467
300	3634	8440
301	3644	8424
302	3650	8398
303	3665	8392
304	3679	8384
305	3686	8360
306	3694	8340
307	3704	8323
308	3721	8322
309	3730	8303
310	3740	8287
311	3747	8262
312	3755	8242
313	3769	8236
314	3777	8214
315	3786	8195
316	3794	8175
317	3802	8155
318	3819	8154
319	3825	8129
320	3836	8115
321	3842	8091
322	3850	8071
323	3864	8063
324	3872	8042
325	3879	8020
326	3887	8000
327	3893	7976
328	3908	7972
329	3919	7957
330	3925	7934
331	3935	7917
332	3943	7898
333	3959	7894
334	3969	7879
335	3976	7858
336	3985	7841
337	3994	7823
338	4013	7826
339	4019	7802
340	4030	7788
341	4037	7767
342	4050	7758
343	4063	7749
344	4069	7726
345	4079	7710
346	4085	7688
347	4095	7673
348	4114	7674
349	4122	7655
350	4128	7634
351	4134	7611
352	4158	7621
353	4165	7601
354	4174	7585
355	4181	7564
356	4190	7546
357	4212	7553
358	4220	7535
359	4228	7516
360	4234	7494
361	4256	7502
362	4262	7480
363	4276	7472
364	4282	7450
365	4302	7453
366	4311	7435
367	4324	7426
368	4330	7404
369	4339	7388
370	4353	7381
371	4359	7359
372	4372	7350
373	4379	7329
374	4394	7324
375	4405	7311
376	4415	7296
377	4422	7276
378	4428	7255
379	4441	7246
380	4453	7234
381	4463	7220
382	4471	7203
383	4481	7188
384	4504	7195
385	4515	7182
386	4522	7163
387	4548	7174
388	4556	7156
389	4568	7145
390	4576	7127
391	4596	7129
392	4605	7112
393	4619	7105
394	4628	7089
395	4651	7094
396	4665	7086
397	4673	7069
398	4691	7065
399	4700	7050
400	4713	7040
401	4720	7022
402	4733	7012
403	4747	7004
404	4757	6988
405	4765	6971
406	4774	6956
407	4798	6961
408	4810	6950
409	4816	6931
410	4829	6921
411	4844	6914
412	4850	6894
413	4860	6880
414	4868	6862
415	4881	6852
416	4891	6838
417	4897	6818
418	4907	6805
419	4918	6791
420	4933	6784
421	4943	6770
422	4952	6755
423	4961	6740
424	4967	6721
425	4985	6717
426	4992	6699
427	4998	6680
428	5007	6664
429	5013	6645
430	5024	6633
431	5041	6628
432	5049	6612
433	5056	6594
434	5063	6576
435	5085	6578
436	5092	6560
437	5100	6544
438	5107	6526
439	5113	6507
440	5136	6511
441	5143	6492
442	5155	6481
443	5161	6463
444	5174	6453
445	5186	6442
446	5192	6424
447	5206	6414
448	5213	6397
449	5231	6394
450	5238	6376
451	5251	6366
452	5257	6348
453	5270	6338
454	5283	6328
455	5293	6314
456	5301	6299
457	5308	6281
458	5329	6281
459	5336	6264
460	5347	6251
461	5354	6235
462	5379	6239
463	5387	6223
464	5397	6209
465	5405	6193
466	5429	6197
467	5437	6180
468	5447	6167
469	5453	6149
470	5474	6148
471	5482	6133
472	5493	6121
473	5503	6107
474	5520	6101
475	5532	6089
476	5542	6076
477	5549	6060
478	5562	6049
479	5574	6038
480	5584	6026
481	5593	6011
482	5600	5994
483	5617	5988
484	5628	5976
485	5639	5963
486	5646	5948
487	5657	5935
488	5671	5927
489	5678	5910
490	5688	5897
491	5695	5880
492	5710	5872
493	5723	5862
494	5732	5848
495	5740	5832
496	5748	5817
497	5762	5809
498	5772	5795
499	5781	5781
500	5788	5765
501	5796	5750
502	5811	5742
503	5820	5727
504	5828	5712
505	5839	5700
506	5847	5686
507	5862	5678
508	5869	5662
509	5880	5650
510	5887	5633
511	5895	5618
512	5914	5614
513	5921	5598
514	5931	5586
515	5938	5569
516	5950	5558
517	5967	5552
518	5981	5543
519	5989	5528
520	6006	5522
521	6015	5508
522	6025	5495
523	6035	5482
524	6045	5469
525	6060	5461
526	6066	5445
527	6079	5434
528	6086	5419
529	6103	5412
530	6112	5399
531	6123	5386
532	6132	5373
533	6144	5361
534	6157	5352
535	6164	5336
536	6178	5327
537	6185	5311
538	6204	5306
539	6211	5291
540	6223	5279
541	6230	5264
542	6243	5255
543	6257	5245
544	6264	5230
545	6275	5218
546	6282	5203
547	6300	5196
548	6307	5181
549	6316	5168
550	6326	5155
551	6332	5139
552	6351	5133
553	6357	5118
554	6365	5103
555	6375	5091
556	6386	5079
557	6402	5071
558	6408	5056
559	6422	5046
560	6428	5030
561	6445	5023
562	6452	5008
563	6462	4995
564	6469	4981
565	6476	4965
566	6492	4957
567	6501	4944
568	6507	4928
569	6517	4916
570	6525	4902
571	6544	4896
572	6551	4882
573	6559	4868
574	6570	4856
575	6577	4841
576	6593	4833
577	6600	4818
578	6608	4805
579	6620	4793
580	6630	4781
581	6644	4771
582	6650	4756
583	6662	4745
584	6669	4731
585	6677	4717
586	6693	4709
587	6699	4693
588	6711	4683
589	6718	4668
590	6730	4657
591	6741	4646
592	6748	4631
593	6758	4619
594	6766	4605
595	6774	4592
596	6789	4583
597	6796	4569
598	6808	4557
599	6814	4543
600	6832	4535
601	6841	4522
602	6847	4508
603	6860	4497
604	6868	4484
605	6887	4477
606	6894	4463
607	6908	4453
608	6922	4444
609	6936	4434
610	6951	4426
611	6959	4412
612	6980	4406
613	6988	4393
614	7000	4382
615	7007	4368
616	7018	4357
617	7031	4346
618	7038	4332
619	7053	4323
620	7061	4309
621	7079	4302
622	7087	4288
623	7102	4279
624	7109	4265
625	7126	4257
626	7134	4244
627	7143	4231
628	7153	4219
629	7163	4206
630	7179	4198
631	7194	4189
632	7202	4175
633	7214	4165
634	7228	4154
635	7236	4141
636	7246	4129
637	7253	4115
638	7271	4108
639	7279	4094
640	7288	4081
641	7298	4069
642	7305	4056
643	7320	4046
644	7327	4033
645	7336	4020
646	7346	4008
647	7360	3998
648	7376	3989
649	7386	3977
650	7394	3964
651	7401	3950
652	7419	3942
653	7427	3929
654	7437	3917
655	7445	3904
656	7459	3894
657	7471	3883
658	7477	3869
659	7491	3859
660	7497	3845
661	7515	3837
662	7522	3823
663	7532	3811
664	7566	3811
665	7573	3797
666	7587	3788
667	7594	3774
668	7610	3765
669	7619	3753
670	7633	3742
671	7639	3729
672	7648	3716
673	7662	3706
674	7668	3692
675	7677	3679
676	7686	3667
677	7693	3653
678	7711	3645
679	7718	3632
680	7726	3619
681	7735	3606
682	7743	3593
683	7761	3585
684	7767	3571
685	7778	3560
686	7785	3547
687	7795	3535
688	7809	3525
689	7815	3511
690	7827	3500
691	7834	3487
692	7844	3475
693	7858	3465
694	7864	3451
695	7877	3440
696	7883	3427
697	7893	3415
698	7907	3404
699	7913	3391
700	7925	3380
701	7931	3366
702	7942	3355
703	7956	3345
704	7962	3331
705	7971	3319
706	7979	3306
707	7988	3294
708	8002	3284
709	8009	3271
710	8024	3261
711	8030	3248
712	8046	3238
713	8055	3226
714	8061	3213
715	8074	3202
716	8080	3189
717	8095	3179
718	8104	3167
719	8112	3154
720	8122	3143
721	8130	3130
722	8147	3121
723	8154	3108
724	8166	3097
725	8172	3084
726	8184	3073
727	8200	3063
728	8211	3052
729	8221	3040
730	8234	3030
731	8247	3019
732	8253	3006
733	8265	2995
734	8272	2982
735	8287	2972
736	8298	2961
737	8304	2948
738	8319	2938
739	8327	2925
740	8343	2916
741	8371	2910
742	8411	2909
743	8434	2902
744	8469	2898
745	8480	2887
746	8487	2874
747	8529	2873
748	8536	2860
749	8550	2850
750	8561	2838
751	8570	2826
752	8577	2813
753	8584	2800
754	8607	2793
755	8614	2780
756	8624	2768
757	8630	2755
758	8642	2744
759	8659	2734
760	8667	2722
761	8674	2709
762	8680	2696
763	8695	2685
764	8705	2674
765	8714	2662
766	8722	2649
767	8728	2636
768	8740	2625
769	8752	2614
770	8759	2601
771	8769	2589
772	8775	2576
773	8785	2565
774	8802	2555
775	8808	2542
776	8820	2531
777	8826	2518
778	8843	2508
779	8855	2497
780	8865	2485
781	8871	2473
782	8881	2461
783	8901	2452
784	8909	2440
785	8917	2428
786	8924	2415
787	8940	2405
788	8952	2394
789	8961	2382
790	8968	2369
791	8974	2356
792	8992	2347
793	9000	2335
794	9009	2323
795	9015	2310
796	9022	2297
797	9038	2288
798	9048	2276
799	9057	2264
800	9064	2252
801	9071	2239
802	9089	2229
803	9098	2218
804	9107	2206
805	9113	2193
806	9120	2181
807	9135	2170
808	9145	2159
809	9154	2147
810	9163	2135
811	9169	2122
812	9185	2112
813	9193	2100
814	9203	2089
815	9211	2077
816	9217	2064
817	9235	2054
818	9242	2042
819	9251	2030
820	9258	2018
821	9265	2006
822	9283	1996
823	9292	1984
824	9306	1974
825	9323	1964
826	9342	1954
827	9354	1943
828	9362	1931
829	9380	1921
830	9388	1909
831	9400	1898
832	9407	1885
833	9416	1874
834	9432	1863
835	9439	1851
836	9451	1840
837	9458	1828
838	9477	1818
839	9488	1807
840	9499	1796
841	9507	1784
842	9531	1775
843	9546	1764
844	9553	1752
845	9568	1741
846	9581	1730
847	9596	1720
848	9604	1708
849	9621	1697
850	9632	1686
851	9645	1675
852	9651	1663
853	9663	1652
854	9678	1641
855	9685	1629
856	9693	1617
857	9699	1605
858	9711	1594
859	9726	1583
860	9736	1571
861	9743	1559
862	9750	1547
863	9769	1537
864	9778	1526
865	9788	1514
866	9795	1502
867	9801	1490
868	9817	1479
869	9824	1468
870	9835	1456
871	9842	1444
872	9848	1432
873	9864	1422
874	9872	1410
875	9878	1398
876	9888	1386
877	9894	1374
878	9905	1363
879	9920	1352
880	9927	1340
881	9938	1329
882	9944	1317
883	9964	1307
884	9972	1295
885	9982	1284
886	9988	1272
887	9996	1260
888	10012	1250
889	10020	1238
890	10028	1226
891	10035	1215
892	10041	1203
893	10055	1192
894	10066	1181
895	10075	1169
896	10084	1157
897	10090	1146
898	10105	1135
899	10115	1123
900	10121	1112
901	10131	1100
902	10138	1089
903	10161	1079
904	10169	1067
905	10180	1056
906	10186	1044
907	10197	1033
908	10209	1022
909	10217	1010
910	10228	999
911	10235	987
912	10245	976
913	10258	965
914	10266	953
915	10277	942
916	10284	930
917	10297	919
918	10309	908
919	10315	896
920	10326	885
921	10332	874
922	10342	862
923	10358	851
924	10364	840
925	10374	829
926	10381	817
927	10405	807
928	10413	795
929	10424	784
930	10431	773
931	10448	762
932	10458	751
933	10466	739
934	10474	728
935	10481	716
936	10496	705
937	10506	694
938	10515	683
939	10522	671
940	10529	660
941	10544	649
942	10555	638
943	10564	626
944	10570	615
945	10577	603
946	10591	592
947	10602	581
948	10608	570
949	10618	558
950	10625	547
951	10646	536
952	10654	525
953	10664	514
954	10670	502
955	10678	491
956	10696	480
957	10703	469
958	10714	458
959	10720	446
960	10730	435
961	10744	424
962	10752	413
963	10763	401
964	10769	390
965	10780	379
966	10793	368
967	10800	357
968	10812	345
969	10819	334
970	10832	323
971	10844	312
972	10850	301
973	10861	289
974	10867	278
975	10880	267
976	10895	256
977	10902	245
978	10911	234
979	10917	222
980	10936	211
981	10947	200
982	10958	189
983	10965	178
984	10978	167
985	10990	156
986	10998	144
987	11008	133
988	11015	122
989	11027	111
990	11038	100
991	11045	89
992	11056	77
993	11062	66
994	11073	55
995	11087	44
996	11093	33
997	11101	22
998	11109	11
999	11115	0
